bookkeeping,child_dialect_count,child_family_count,child_language_count,description,family_pk,father_pk,hid,id,jsondata,latitude,level,longitude,markup_description,name,newick,pk,status
False,1,0,0,,86,86,mps,dadi1250,{},-6.65765,language,144.511,,Dadibi,('Erave River [erav1243]':1)'Dadibi [dadi1250][mps]-l-':1,573,safe
False,0,0,0,,68,23625,dgd,daga1272,{},11.6839,language,-2.48569,,Dagaari Dioula,'Dagaari Dioula [daga1272][dgd]-l-':1,23719,safe
False,0,0,0,,174,174,dgz,daga1275,{},-9.9747,language,149.263,,Daga,'Daga [daga1275][dgz]-l-':1,772,safe
False,0,0,0,,114,3846,NOCODE_Dagang-Biao,daga1277,{},23.88774,language,112.04558,,Dagang-Baoshan-Liangcun,'Dagang-Baoshan-Liangcun [daga1277]-l-':1,5765,safe
False,1,0,0,,68,22754,dag,dagb1246,{},9.64745,language,-0.43227,,Dagbani,('Nanuni [nanu1239]':1)'Dagbani [dagb1246][dag]-l-':1,23215,safe
False,0,0,0,,211,15158,dgk,dagb1248,{},8.84278,language,18.4847,,Dagba,'Dagba [dagb1248][dgk]-l-':1,17591,safe
False,0,0,0,,342,3137,dec,dagi1241,{},10.583,language,29.9404,,Dagik,'Dagik [dagi1241][dec]-l-':1,4974,safe
False,0,0,0,,276,276,dgn,dago1245,{},-15.764,language,132.379,,Dagoman,'Dagoman [dago1245][dgn]-l-':1,980,extinct
False,0,0,0,,186,2573,dal,daha1245,{},-2.1843,language,40.37,,Dahalo,'Dahalo [daha1245][dal]-l-':1,4202,definitely endangered
False,0,0,0,,186,8874,dlk,daha1247,{},15.732898,language,40.081897,,Dahalik,'Dahalik [daha1247][dlk]-l-':1,11797,definitely endangered
False,0,0,0,,68,8043,das,daho1238,{},5.72458,language,-7.3558,,Daho-Doo,'Daho-Doo [daho1238][das]-l-':1,10610,definitely endangered
False,0,0,0,,207,9122,dij,daii1240,{},-7.55894,language,129.687,,Dai,'Dai [daii1240][dij]-l-':1,12150,vulnerable
False,0,0,0,,217,6580,drb,dair1239,{},12.474,language,30.6782,,Dair,'Dair [dair1239][drb]-l-':1,9267,definitely endangered
False,0,0,0,,114,8313,zhd,daiz1235,{},21.83753,language,107.3622,,Dai Zhuang,'Dai Zhuang [daiz1235][zhd]-l-':1,11062,vulnerable
False,1,0,0,,207,19194,bpa,daka1243,{},-16.2696,language,168.013,,Dakaka,('Sesivi [sesi1237]':1)'Dakaka [daka1243][bpa]-l-':1,20650,safe
False,0,0,0,,207,6484,dkk,dakk1238,{},-3.33671,language,119.235,,Dakka,'Dakka [dakk1238][dkk]-l-':1,9202,definitely endangered
False,2,0,0,,177,6087,dak,dako1258,{},47.6857,language,-102.12,,Dakota,"('Santee-Sisseton [dako1259]':1,'Yankton-Yanktonai [nako1239]':1)'Dakota [dako1258][dak]-l-':1",8584,definitely endangered
False,0,0,0,,336,12729,dka,dakp1242,{},27.3762,language,91.8245,,Dakpakha,'Dakpakha [dakp1242][dka]-l-':1,15493,vulnerable
False,3,0,0,,179,8640,qer,dale1238,{},,language,,,Dalecarlian,"('Elfdalian [elfd1234][ovd]':1,'Orsamål [orsa1234]':1,'Sollerömål [soll1234]':1)'Dalecarlian [dale1238][qer]-l-':1",11383,definitely endangered
False,0,0,0,,179,16501,dlm,dalm1243,{},42.7095,language,18.0238,,Dalmatian,'Dalmatian [dalm1243][dlm]-l-':1,18556,extinct
False,0,0,0,,68,8031,bev,dalo1238,{},6.69281,language,-6.63944,,Daloa Bété,'Daloa Bété [dalo1238][bev]-l-':1,10581,safe
False,0,0,0,,409,409,NOCODE_Dama,dama1262,{},,language,,,Dama (Sierra Leone),'Dama {Sierra Leone} [dama1262]-l-':1,1786,safe
False,0,0,0,,68,10712,dmm,dama1267,{},8.72207,language,14.0597,,Dama (Cameroon),'Dama {Cameroon} [dama1267][dmm]-l-':1,13488,critically endangered
False,0,0,0,,68,10951,dam,dama1268,{},,language,,,Damakawa,'Damakawa [dama1268][dam]-l-':1,13842,critically endangered
False,4,0,0,,,,uhn,dama1272,{},-4.17345,language,137.496,,Damal,"('Amongme [amon1239]':1,'Amung [amun1245]':1,'Enggipilu [engg1246]':1,'Nuclear Damal [nucl1638]':1)'Damal [dama1272][uhn]-l-':1",254,definitely endangered
False,0,0,0,,179,23379,NOCODE_Daman-Diu-Portuguese,dama1278,{},7.25,language,80.67,,Daman-Diu Portuguese,'Daman-Diu Portuguese [dama1278]-l-':1,23551,vulnerable
False,0,0,0,,207,20552,dac,damb1246,{},-7.00587,language,146.474,,Dambi,'Dambi [damb1246][dac]-l-':1,21712,safe
False,0,0,0,,179,6149,dml,dame1241,{},35.299,language,71.6806,,Dameli,'Dameli [dame1241][dml]-l-':1,8724,vulnerable
False,0,0,0,,207,8949,dms,damp1237,{},0.70234,language,120.219,,Dampelas,'Dampelas [damp1237][dms]-l-':1,11861,vulnerable
False,1,0,0,,336,7096,NOCODE_Damu,damu1236,{},29.483,language,95.5,,Damu,('Pangi [pang1285]':1)'Damu [damu1236]-l-':1,9680,safe
False,0,0,0,,67,2090,dnu,dana1252,{},20.4957,language,96.998,,Danau,'Danau [dana1252][dnu]-l-':1,3719,definitely endangered
False,0,0,0,,144,5801,dnr,dana1254,{},-5.53634,language,145.457,,Danaru,'Danaru [dana1254][dnr]-l-':1,8335,safe
False,2,0,0,,291,9480,daq,dand1238,{},18.7475,language,81.3598,,Dandami Maria,"('Geedam [geed1237]':1,'Sukma [sukm1237]':1)'Dandami Maria [dand1238][daq]-l-':1",12444,safe
False,7,0,0,,179,11579,thl,dang1260,{},27.8834,language,81.7761,,Dangaura Tharu,"('Banke [bank1239]':1,'Bardiya [bard1252]':1,'Dang [dang1261]':1,'Deokhuri [deok1238]':1,'Kailali [kail1251]':1,'Kanchanpur [kanc1244]':1,'Surkhet [surk1238]':1)'Dangaura Tharu [dang1260][thl]-l-':1",14375,safe
